AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00330676  39.5475  -81.6283  195.1 OH BEVERLY STP                                  PSEUDONORMALS
USC00331042  41.4619  -84.5272  222.5 OH BRYAN 2 SE                                   PSEUDONORMALS
USC00331057  39.9519  -82.4817  270.4 OH BUCKEYE LAKE 1 N                             TRADITIONAL  
USC00331072  40.8128  -82.9694  291.1 OH BUCYRUS                            HCN       TRADITIONAL  
USC00331152  40.2686  -80.9981  384.0 OH CADIZ                              HCN       TRADITIONAL  
USC00331175  39.7161  -81.4642  268.2 OH CALDWELL 3 SE                                PSEUDONORMALS
USC00331197  40.0167  -81.5833  243.8 OH CAMBRIDGE                                    TRADITIONAL  
USC00331245  41.0167  -80.7667  347.5 OH CANFIELD 1 S                                 TRADITIONAL  
USC00331288  39.1469  -82.2194  250.5 OH CARPENTER 2 S                                TRADITIONAL  
USC00331390  40.5694  -84.5364  262.1 OH CELINA 3 NE                                  TRADITIONAL  
USC00331404  40.3000  -82.6500  367.3 OH CENTERBURG 2 SE                              TRADITIONAL  
USC00331458  41.5833  -81.1833  344.4 OH CHARDON                                      TRADITIONAL  
USC00331515  39.1547  -84.6233  292.6 OH CHEVIOT                                      TRADITIONAL  
USC00331528  39.3744  -83.0036  198.1 OH CHILLICOTHE MOUND CITY                       PSEUDONORMALS
USC00331536  38.7983  -84.1730  152.4 OH CHILO MELDAHL L&D                            TRADITIONAL  
USC00331541  41.0517  -81.9361  359.7 OH CHIPPEWA LAKE                      HCN       TRADITIONAL  
USC00331550  39.1169  -84.6961  152.4 OH CINCINNATI FERNBANK                          TRADITIONAL  
USC00331592  39.6106  -82.9547  205.1 OH CIRCLEVILLE                        HCN       TRADITIONAL  
USC00331777  40.0606  -82.8942  243.8 OH COLUMBUS HAP CREMEAN W                       TRADITIONAL  
USC00331783  39.9047  -82.9200  231.6 OH COLUMBUS VLY CROSSING                        TRADITIONAL  
USC00331858  40.2211  -82.0667  237.7 OH COOPERDALE                                   TRADITIONAL  
USC00331890  40.2403  -81.8711  231.6 OH COSHOCTON WPC PLT                  HCN       TRADITIONAL  
USC00331905  40.3708  -81.7908  347.5 OH COSHOCTON AG RSCH STN                        TRADITIONAL  
USC00332044  40.4397  -82.3039  295.7 OH DANVILLE 2 W                                 TRADITIONAL  
USC00332067  39.7633  -84.1911  227.1 OH DAYTON MCD                                   TRADITIONAL  
USC00332098  41.2778  -84.3853  213.4 OH DEFIANCE                           HCN       TRADITIONAL  
USC00332119  40.3175  -83.0739  280.4 OH DELAWARE                           HCN       TRADITIONAL  
USC00332160  40.3886  -81.3433  262.1 OH DENISON WTR WKS                              TRADITIONAL  
USC00332251  41.6833  -80.6667  298.7 OH DORSET                                       TRADITIONAL  
USC00332485  39.7347  -84.6336  305.4 OH EATON                                        TRADITIONAL  
USC00332599  41.3833  -82.0500  222.5 OH ELYRIA 3 E                                   TRADITIONAL  
USC00332603  41.3000  -82.1167  235.3 OH ELYRIA 4 S                                   PSEUDONORMALS
USC00332626  39.5586  -82.4842  249.9 OH ENTERPRISE                                   TRADITIONAL  
USC00332651  39.3500  -84.5833  175.3 OH FAIRFIELD                                    TRADITIONAL  
USC00332727  39.2122  -83.8778  300.5 OH FAYETTEVILLE 4 NE                            TRADITIONAL  
USC00332791  41.0461  -83.6622  234.1 OH FINDLAY WPCC                       HCN       TRADITIONAL  
USC00332847  41.2833  -82.4000  256.0 OH FLORENCE 3 SSE                               TRADITIONAL  
USC00332895  40.4097  -84.7858  285.0 OH FT RECOVERY                                  PSEUDONORMALS
USC00332928  39.5536  -84.3189  204.2 OH FRANKLIN                                     TRADITIONAL  
USC00332956  40.4167  -82.5333  320.0 OH FREDERICKTOWN 4 S                            PSEUDONORMALS
USC00332974  41.3333  -83.1167  182.9 OH FREMONT                                      TRADITIONAL  
USC00332976  41.3119  -83.1719  202.4 OH FREMONT AG STN                               TRADITIONAL  
USC00333021  40.7236  -82.8000  356.6 OH GALION WTR WKS                               TRADITIONAL  
USC00333029  38.8203  -82.1822  173.4 OH GALLIPOLIS                                   TRADITIONAL  
USC00333292  41.4167  -83.8667  190.8 OH GRAND RAPIDS                                 PSEUDONORMALS
USC00333375  40.1000  -84.6500  312.1 OH GREENVILLE WTP                     HCN       TRADITIONAL  
USC00333393  40.5167  -82.2000  274.3 OH GREER                                        TRADITIONAL  
USC00333482  39.4000  -84.5667  179.8 OH HAMILTON 2                                   PSEUDONORMALS
USC00333500  39.6667  -80.8667  189.0 OH HANNIBAL L&D                                 TRADITIONAL  
USC00333722  41.3214  -84.7475  240.8 OH HICKSVILLE                                   TRADITIONAL  
USC00333758  39.2333  -83.6092  296.0 OH HILLSBORO                          HCN       TRADITIONAL  
USC00333780  41.3000  -81.1500  374.9 OH HIRAM                              HCN       TRADITIONAL  
USC00333838  40.3239  -80.8992  371.9 OH HOPEDALE                                     TRADITIONAL  
USC00333874  41.2167  -83.7667  213.4 OH HOYTVILLE 2 NE                               TRADITIONAL  
USC00333915  40.4803  -83.8131  313.9 OH HUNTSVILLE 3 N                               TRADITIONAL  
USC00334004  39.0800  -82.7078  243.8 OH JACKSON 3 NW                                 TRADITIONAL  
USC00334038  39.6369  -83.5564  318.5 OH JEFFERSONVILLE 1 S                           PSEUDONORMALS
USC00334189  40.6489  -83.6061  303.3 OH KENTON                             HCN       TRADITIONAL  
USC00334238  39.3531  -84.2606  228.6 OH KINGS MILLS                                  TRADITIONAL  
USC00334258  41.6167  -81.3000  228.0 OH KIRTLAND-HOLDEN                              PSEUDONORMALS
USC00334260  41.6167  -81.3000  313.9 OH KIRTLAND-HOLDEN 2                            TRADITIONAL  
USC00334319  41.2500  -82.1000  249.3 OH LAGRANGE 1 NE                                TRADITIONAL  
USC00334403  39.7156  -82.6072  256.0 OH LANCASTER                                    PSEUDONORMALS
USC00334434  39.4667  -82.7333  231.6 OH LAURELVILLE                                  TRADITIONAL  
USC00334551  40.7247  -84.1294  259.1 OH LIMA WWTP                                    TRADITIONAL  
USC00334672  39.5325  -82.3936  218.2 OH LOGAN                                        PSEUDONORMALS
USC00334681  39.8833  -83.4500  310.9 OH LONDON                                       TRADITIONAL  
USC00334728  40.8333  -81.2500  356.6 OH LOUISVILLE                                   TRADITIONAL  
USC00334874  40.7667  -82.6167  411.5 OH MANSFIELD 5 W                                TRADITIONAL  
USC00334924  39.4108  -81.4536  185.9 OH MARIETTA LOCK 1                              TRADITIONAL  
USC00334927  39.4089  -81.4328  176.8 OH MARIETTA WWTP                                TRADITIONAL  
USC00334942  40.6167  -83.1333  294.1 OH MARION 2 N                                   TRADITIONAL  
USC00334967  40.8833  -81.7333  341.4 OH MARSHALLVILLE 1 SSW                          TRADITIONAL  
USC00334979  40.2411  -83.3669  304.8 OH MARYSVILLE                                   TRADITIONAL  
USC00335029  39.2503  -82.4822  239.3 OH MC ARTHUR                                    TRADITIONAL  
USC00335041  39.6522  -81.8561  231.6 OH MC CONNELLSVILLE LK 7              HCN       TRADITIONAL  
USC00335188  39.2000  -84.7000  146.9 OH MIAMITOWN                                    PSEUDONORMALS
USC00335220  39.5167  -84.4167  193.5 OH MIDDLETOWN                                   TRADITIONAL  
USC00335268  39.1814  -84.2867  158.5 OH MILFORD                                      TRADITIONAL  
USC00335297  40.5500  -81.9167  249.6 OH MILLERSBURG                        HCN       TRADITIONAL  
USC00335315  40.7692  -80.8561  356.6 OH MILLPORT 4 NE                      HCN       TRADITIONAL  
USC00335356  41.1500  -80.7833  271.3 OH MINERAL RIDGE WTR WKS                        TRADITIONAL  
USC00335438  41.5886  -84.5850  262.1 OH MONTPELIER                                   TRADITIONAL  
USC00335505  41.3000  -80.7667  277.4 OH MOSQUITO CREEK LAKE                          TRADITIONAL  
USC00335535  40.5500  -82.8167  332.2 OH MT GILEAD LAKES PRK                          TRADITIONAL  
USC00335669  41.3939  -84.1144  207.9 OH NAPOLEON                                     TRADITIONAL  
USC00335718  39.5014  -82.2439  213.4 OH NELSONVILLE                                  TRADITIONAL  
USC00335747  40.0875  -82.4128  254.5 OH NEWARK WATER WKS                             TRADITIONAL  
USC00335786  39.9322  -84.0333  268.2 OH NEW CARLISLE                                 TRADITIONAL  
USC00335794  40.2667  -81.6000  244.1 OH NEWCOMERSTOWN                                TRADITIONAL  
USC00335857  39.7333  -82.2156  271.3 OH NEW LEXINGTON 2 NW                           TRADITIONAL  
USC00335894  40.4878  -81.4317  281.9 OH NEW PHILADELPHIA                             TRADITIONAL  
USC00335939  39.3933  -81.2192  203.6 OH NEWPORT                                      TRADITIONAL  
USC00336118  41.2667  -82.6167  204.2 OH NORWALK WWTP                       HCN       TRADITIONAL  
USC00336196  41.2667  -82.2167  248.7 OH OBERLIN                            HCN       TRADITIONAL  
USC00336342  41.0325  -84.0542  222.5 OH OTTAWA                                       TRADITIONAL  
USC00336389  41.7500  -81.3000  182.9 OH PAINESVILLE 4 NW                             TRADITIONAL  
USC00336405  40.9461  -83.9614  234.7 OH PANDORA                                      TRADITIONAL  
USC00336465  41.1244  -84.5922  221.0 OH PAULDING                                     TRADITIONAL  
USC00336600  39.8386  -81.9167  310.9 OH PHILO 3 SW                         HCN       TRADITIONAL  
USC00336616  40.1833  -81.2167  286.5 OH PIEDMONT LAKE                                PSEUDONORMALS
USC00336630  39.0706  -83.0197  173.7 OH PIKETON AEC PUMP STN                         TRADITIONAL  
USC00336645  40.1525  -84.2372  289.6 OH PIQUA                                        TRADITIONAL  
USC00336650  40.1311  -84.2342  243.8 OH PIQUA WWTP                                   PSEUDONORMALS
USC00336697  40.0494  -84.3458  280.4 OH PLEASANT HILL                                TRADITIONAL  
USC00336781  38.7569  -82.8872  164.6 OH PORTSMOUTH-SCIOTOVILLE             HCN       TRADITIONAL  
USC00336861  40.4833  -83.2000  278.9 OH PROSPECT                                     TRADITIONAL  
USC00336882  41.6500  -82.8000  176.8 OH PUT-IN-BAY                                   TRADITIONAL  
USC00336949  41.1333  -81.2833  337.4 OH RAVENNA 2 S                                  TRADITIONAL  
USC00337120  38.7872  -83.7972  268.2 OH RIPLEY EXP FARM                              TRADITIONAL  
USC00337255  39.8164  -82.0722  225.6 OH ROSEVILLE                                    TRADITIONAL  
USC00337303  41.0500  -82.3500  338.3 OH RUGGLES 2 NE                                 TRADITIONAL  
USC00337383  40.5447  -84.4375  266.7 OH ST MARYS 3 W                                 TRADITIONAL  
USC00337400  40.1394  -83.9289  359.7 OH ST PARIS 2 NE                                TRADITIONAL  
USC00337410  39.0700  -82.2908  225.6 OH SALEM CTR 2 E                                TRADITIONAL  
USC00337538  39.7339  -83.4775  326.1 OH SEDALIA                                      TRADITIONAL  
USC00337559  39.9222  -81.4347  266.7 OH SENECAVILLE LAKE                             PSEUDONORMALS
USC00337693  40.2706  -84.1506  286.5 OH SIDNEY 1 S                                   TRADITIONAL  
USC00337857  38.4239  -82.5936  168.6 OH SOUTH POINT                                  TRADITIONAL  
USC00337935  39.9667  -83.8167  283.5 OH SPRINGFIELD NEW WWKS                         TRADITIONAL  
USC00338025  40.3764  -80.6283  302.4 OH STEUBENVILLE                                 TRADITIONAL  
USC00338110  41.5044  -84.4300  213.4 OH STRYKER                                      TRADITIONAL  
USC00338313  41.1167  -83.1667  225.6 OH TIFFIN                             HCN       TRADITIONAL  
USC00338332  39.9528  -84.1689  274.3 OH TIPP CITY                                    TRADITIONAL  
USC00338534  40.8333  -83.2833  260.3 OH UPPER SANDUSKY                     HCN       TRADITIONAL  
USC00338552  40.0986  -83.7822  304.8 OH URBANA WWTP                        HCN       TRADITIONAL  
USC00338560  40.2167  -82.4333  306.3 OH UTICA                                        TRADITIONAL  
USC00338565  40.2061  -82.5200  345.9 OH UTICA 4 WSW                                  TRADITIONAL  
USC00338609  40.8494  -84.5808  240.8 OH VAN WERT 1 S                                 TRADITIONAL  
USC00338642  40.2197  -84.4822  297.2 OH VERSAILLES                                   TRADITIONAL  
USC00338769  41.2000  -80.8167  274.3 OH WARREN 3 S                         HCN       TRADITIONAL  
USC00338794  39.5467  -83.4153  301.8 OH WASHINGTON COURT HOUSE                       TRADITIONAL  
USC00338810  38.7003  -82.4736  190.5 OH WATERLOO                                     TRADITIONAL  
USC00338822  41.5183  -84.1453  228.6 OH WAUSEON WTP                        HCN       TRADITIONAL  
USC00338830  39.1114  -82.9797  170.7 OH WAVERLY                            HCN       TRADITIONAL  
USC00338951  40.1264  -82.9433  246.9 OH WESTERVILLE                                  TRADITIONAL  
USC00338990  39.8731  -84.6556  330.7 OH WEST MANCHESTER 3 WSW                        TRADITIONAL  
USC00339050  38.8050  -83.4356  240.8 OH WEST UNION 6 ENE                             TRADITIONAL  
USC00339197  39.3667  -81.3167  187.8 OH WILLOW ISLAND L&D                            PSEUDONORMALS
USC00339219  39.4833  -83.8167  313.9 OH WILMINGTON 3 N                               TRADITIONAL  
USC00339312  40.7833  -81.9167  310.9 OH WOOSTER EXP STN                    HCN       TRADITIONAL  
USC00339361  39.6167  -83.9000  295.0 OH XENIA 6 SSE                                  TRADITIONAL  
USC00340017  34.7864  -96.6850  309.4 OK ADA                                HCN       TRADITIONAL  
USC00340028  36.4008  -95.3000  197.2 OK ADAIR 3SW                                    PSEUDONORMALS
