AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00021353  33.9825 -112.3617  606.6 AZ CASTLE HOT SPRINGS                           TRADITIONAL  
USC00021514  33.2058 -111.6819  434.3 AZ CHANDLER HEIGHTS                   HCN       TRADITIONAL  
USC00021574  34.5400 -110.9153 2135.4 AZ CHEVELON RS                                  TRADITIONAL  
USC00021614  34.3494 -111.6981  807.7 AZ CHILDS                             HCN       TRADITIONAL  
USC00021654  34.7569 -112.4567 1447.8 AZ CHINO VALLEY                                 PSEUDONORMALS
USC00021664  32.0061 -109.3572 1615.4 AZ CHIRICAHUA NM                                TRADITIONAL  
USC00021849  33.0561 -109.3072 1072.9 AZ CLIFTON                                      TRADITIONAL  
USC00021920  36.9936 -112.9719 1524.3 AZ COLORADO CITY                                TRADITIONAL  
USC00022109  34.3050 -112.1650 1149.4 AZ CORDES                                       TRADITIONAL  
USC00022140  31.3456 -110.2542 1597.8 AZ CORONADO NM HQ                               TRADITIONAL  
USC00022434  32.9711 -113.4981  158.5 AZ DATELAND WHITEWING RCH                       TRADITIONAL  
USC00022527  35.2947 -113.3664 1674.0 AZ DIAMOND M RANCH                              PSEUDONORMALS
USC00022659  31.3450 -109.5394 1231.4 AZ DOUGLAS                                      TRADITIONAL  
USC00022754  32.7481 -109.1214 1115.6 AZ DUNCAN                                       TRADITIONAL  
USC00022782  33.4192 -111.6444  462.7 AZ EAST MESA                                    PSEUDONORMALS
USC00022790  33.6133 -114.4706  141.7 AZ EHRENBERG 2 E                                TRADITIONAL  
USC00022807  32.7819 -111.5186  470.9 AZ ELOY 4 NE                                    TRADITIONAL  
USC00023009  35.1611 -111.7311 2171.7 AZ FLAGSTAFF 4 SW                               TRADITIONAL  
USC00023027  33.0364 -111.3881  426.7 AZ FLORENCE                                     TRADITIONAL  
USC00023110  32.6231 -109.9428 1478.3 AZ FT GRANT                                     PSEUDONORMALS
USC00023150  33.0094 -109.9855  864.1 AZ FT THOMAS 2 SW                               TRADITIONAL  
